timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771216193992,426,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,426,0,2
1771216194288,299,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,299,0,1
1771216194480,281,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,281,0,3
1771216194558,404,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,404,0,2
1771216194891,243,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,243,0,1
1771216194628,677,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,677,0,2
1771216195177,303,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,303,0,1
1771216193846,1849,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1849,0,2
1771216193866,1846,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1846,0,1
1771216193818,1912,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1911,0,1
1771216193919,1815,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1815,0,1
1771216194412,1333,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1333,0,2
1771216193801,1958,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1958,0,6
1771216193916,1860,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1860,0,1
1771216195512,362,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,362,0,1
1771216194103,1785,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1785,0,2
